SCHOOL_ID,SCHOOL_YEAR,SCHOOL_NAME,TOTAL_ENROLLMENT,CHRONIC_ABSENTEEISM_RATE,ABSENTEEISM_TIER,ELA_PCT_PROFICIENT,ELA_SUPPRESSED,MATH_PCT_PROFICIENT,MATH_SUPPRESSED,DBT_UPDATED_AT
2093,2021,FuturEdge Academy Elementary School,300,46,Critical,,FALSE,,FALSE,2026-06-23 16:30:42.783 -0700
2093,2022,FuturEdge Academy Elementary School,232,45,Critical,18,FALSE,10,FALSE,2026-06-23 16:30:42.783 -0700
2093,2023,FuturEdge Academy Elementary School,168,39,Critical,14,FALSE,,FALSE,2026-06-23 16:30:42.783 -0700
2093,2024,FuturEdge Academy Elementary School,183,51,Critical,17,FALSE,,FALSE,2026-06-23 16:30:42.783 -0700
2094,2020,D L Dusty Dickens Elementary School,797,39,Critical,33,FALSE,20,FALSE,2026-06-23 16:30:42.783 -0700
2094,2021,D L Dusty Dickens Elementary School,748,46,Critical,36,FALSE,24,FALSE,2026-06-23 16:30:42.783 -0700
2094,2022,D L Dusty Dickens Elementary School,764,41,Critical,36,FALSE,24,FALSE,2026-06-23 16:30:42.783 -0700
2094,2023,D L Dusty Dickens Elementary School,751,34,Critical,36,FALSE,27,FALSE,2026-06-23 16:30:42.783 -0700
2094,2024,D L Dusty Dickens Elementary School,775,27,High,40,FALSE,32,FALSE,2026-06-23 16:30:42.783 -0700
2095,2020,Sister Robert Joseph Bailey Elementary School,621,22,High,27,FALSE,11,FALSE,2026-06-23 16:30:42.783 -0700
2095,2021,Sister Robert Joseph Bailey Elementary School,565,41,Critical,38,FALSE,23,FALSE,2026-06-23 16:30:42.783 -0700
2095,2022,Sister Robert Joseph Bailey Elementary School,586,40,Critical,38,FALSE,24,FALSE,2026-06-23 16:30:42.783 -0700
2095,2023,Sister Robert Joseph Bailey Elementary School,595,38,Critical,35,FALSE,26,FALSE,2026-06-23 16:30:42.783 -0700
2095,2024,Sister Robert Joseph Bailey Elementary School,572,29,High,38,FALSE,33,FALSE,2026-06-23 16:30:42.783 -0700
2096,2020,Dr C Owen Roundy Elementary School,613,16,Moderate,17,FALSE,8,FALSE,2026-06-23 16:30:42.783 -0700
2096,2021,Dr C Owen Roundy Elementary School,601,48,Critical,25,FALSE,22,FALSE,2026-06-23 16:30:42.783 -0700
2096,2022,Dr C Owen Roundy Elementary School,659,46,Critical,24,FALSE,25,FALSE,2026-06-23 16:30:42.783 -0700
2096,2023,Dr C Owen Roundy Elementary School,629,39,Critical,19,FALSE,18,FALSE,2026-06-23 16:30:42.783 -0700
2096,2024,Dr C Owen Roundy Elementary School,617,24,High,26,FALSE,22,FALSE,2026-06-23 16:30:42.783 -0700
2097,2020,Robert L Forbuss Elementary School,607,10,Moderate,54,FALSE,34,FALSE,2026-06-23 16:30:42.783 -0700
2097,2021,Robert L Forbuss Elementary School,598,36,Critical,57,FALSE,43,FALSE,2026-06-23 16:30:42.783 -0700
2097,2022,Robert L Forbuss Elementary School,604,31,Critical,52,FALSE,47,FALSE,2026-06-23 16:30:42.783 -0700
2097,2023,Robert L Forbuss Elementary School,612,26,High,53,FALSE,49,FALSE,2026-06-23 16:30:42.783 -0700
2097,2024,Robert L Forbuss Elementary School,641,23,High,58,FALSE,55,FALSE,2026-06-23 16:30:42.783 -0700
2098,2020,Judith D Steele Elementary School,727,17,Moderate,48,FALSE,41,FALSE,2026-06-23 16:30:42.783 -0700
2098,2021,Judith D Steele Elementary School,733,37,Critical,55,FALSE,55,FALSE,2026-06-23 16:30:42.783 -0700
2098,2022,Judith D Steele Elementary School,764,29,High,55,FALSE,56,FALSE,2026-06-23 16:30:42.783 -0700
2098,2023,Judith D Steele Elementary School,765,24,High,54,FALSE,50,FALSE,2026-06-23 16:30:42.783 -0700
2098,2024,Judith D Steele Elementary School,788,20,High,54,FALSE,48,FALSE,2026-06-23 16:30:42.783 -0700
2099,2020,Steve Schorr Elementary School,631,19,Moderate,48,FALSE,28,FALSE,2026-06-23 16:30:42.783 -0700
2099,2021,Steve Schorr Elementary School,655,43,Critical,45,FALSE,38,FALSE,2026-06-23 16:30:42.783 -0700
2099,2022,Steve Schorr Elementary School,647,34,Critical,47,FALSE,37,FALSE,2026-06-23 16:30:42.783 -0700
2099,2023,Steve Schorr Elementary School,701,31,Critical,48,FALSE,41,FALSE,2026-06-23 16:30:42.783 -0700
2099,2024,Steve Schorr Elementary School,678,30,Critical,53,FALSE,44,FALSE,2026-06-23 16:30:42.783 -0700
2100,2020,Kitty McDonough Ward Elementary School,726,8,Low,51,FALSE,40,FALSE,2026-06-23 16:30:42.783 -0700
2100,2021,Kitty McDonough Ward Elementary School,749,25,High,60,FALSE,51,FALSE,2026-06-23 16:30:42.783 -0700
2100,2022,Kitty McDonough Ward Elementary School,727,21,High,58,FALSE,51,FALSE,2026-06-23 16:30:42.783 -0700
2100,2023,Kitty McDonough Ward Elementary School,692,13,Moderate,57,FALSE,54,FALSE,2026-06-23 16:30:42.783 -0700
2100,2024,Kitty McDonough Ward Elementary School,691,15,Moderate,65,FALSE,61,FALSE,2026-06-23 16:30:42.783 -0700
2101,2020,Blue Diamond Elementary School,34,,Critical,71,FALSE,,FALSE,2026-06-23 16:30:42.783 -0700
2101,2021,Blue Diamond Elementary School,29,25,High,88,FALSE,94,FALSE,2026-06-23 16:30:42.783 -0700
2101,2022,Blue Diamond Elementary School,48,22,High,74,FALSE,95,FALSE,2026-06-23 16:30:42.783 -0700
2101,2023,Blue Diamond Elementary School,54,31,Critical,82,FALSE,88,FALSE,2026-06-23 16:30:42.783 -0700
2101,2024,Blue Diamond Elementary School,35,32,Critical,,FALSE,,FALSE,2026-06-23 16:30:42.783 -0700
2102,2020,Goodsprings Elementary School,10,42,Critical,,FALSE,,FALSE,2026-06-23 16:30:42.783 -0700
2102,2021,Goodsprings Elementary School,,,Critical,,FALSE,,FALSE,2026-06-23 16:30:42.783 -0700
2102,2022,Goodsprings Elementary School,,,Critical,,FALSE,,FALSE,2026-06-23 16:30:42.783 -0700
2102,2023,Goodsprings Elementary School,,,Critical,,FALSE,,FALSE,2026-06-23 16:30:42.783 -0700
2102,2024,Goodsprings Elementary School,,,Critical,,FALSE,,FALSE,2026-06-23 16:30:42.783 -0700
2103,2020,Earl B. Lundy Elementary School,12,42,Critical,,FALSE,,FALSE,2026-06-23 16:30:42.783 -0700
2103,2021,Earl B. Lundy Elementary School,11,36,Critical,,FALSE,,FALSE,2026-06-23 16:30:42.783 -0700
2103,2022,Earl B. Lundy Elementary School,13,31,Critical,,FALSE,,FALSE,2026-06-23 16:30:42.783 -0700
2104,2020,Harry Reid Elementary School,21,30,Critical,,FALSE,,FALSE,2026-06-23 16:30:42.783 -0700
2104,2021,Harry Reid Elementary School,18,42,Critical,,FALSE,,FALSE,2026-06-23 16:30:42.783 -0700
2104,2022,Harry Reid Elementary School,11,15,Moderate,,FALSE,,FALSE,2026-06-23 16:30:42.783 -0700
2104,2023,Harry Reid Elementary School,12,17,Moderate,,FALSE,,FALSE,2026-06-23 16:30:42.783 -0700
2104,2024,Harry Reid Elementary School,13,21,High,,FALSE,,FALSE,2026-06-23 16:30:42.783 -0700
2105,2020,Martin Luther King Jr Elementary School,410,29,High,17,FALSE,9,FALSE,2026-06-23 16:30:42.783 -0700
2105,2021,Martin Luther King Jr Elementary School,388,43,Critical,22,FALSE,14,FALSE,2026-06-23 16:30:42.783 -0700
2105,2022,Martin Luther King Jr Elementary School,355,47,Critical,21,FALSE,14,FALSE,2026-06-23 16:30:42.783 -0700
2105,2023,Martin Luther King Jr Elementary School,363,36,Critical,21,FALSE,14,FALSE,2026-06-23 16:30:42.783 -0700
2105,2024,Martin Luther King Jr Elementary School,349,34,Critical,18,FALSE,10,FALSE,2026-06-23 16:30:42.783 -0700
2106,2020,Ruthe Deskin Elementary School,521,28,High,33,FALSE,20,FALSE,2026-06-23 16:30:42.783 -0700
2106,2021,Ruthe Deskin Elementary School,498,41,Critical,36,FALSE,21,FALSE,2026-06-23 16:30:42.783 -0700
2106,2022,Ruthe Deskin Elementary School,475,41,Critical,35,FALSE,29,FALSE,2026-06-23 16:30:42.783 -0700
